Feature Decision Tree,Importances DT,Feature Random Forest,Importances RF
tempo_contrato_Mensal,0.369083039140067,tempo_contrato_Mensal,0.15927048957397327
gastos_diarios,0.15086542408562106,permanencia,0.14238466133058378
permanencia,0.11527003541445936,gastos_diarios,0.11960312363820591
total_gastos,0.09945538435448942,total_gastos,0.11804492514035755
servico_internet_Fibra Optica,0.06622727724646785,tempo_contrato_Bi-Anual,0.08159118519164664
metodo_pagamento_Cheque Digital,0.018097492731573465,servico_internet_Fibra Optica,0.054090310379538965
idoso,0.015359840776316464,metodo_pagamento_Cheque Digital,0.04518519663765436
fatura_online,0.013861079097197257,servico_internet_Nenhum servico,0.030088631128992745
dependentes,0.013406422979308696,tempo_contrato_Anual,0.02246499451817839
assinatura_flmes,0.013273880987806916,seguranca_online,0.02219076699069943
backup_online,0.012728083381531682,suporte_tecnico,0.021376635931878874
suporte_tecnico,0.012377858309687332,fatura_online,0.019466834861391665
parceiro,0.012028922956695514,servico_internet_DSL,0.01669053854597732
servico_telefonico,0.010898686859391491,dependentes,0.014182365804429189
genero_Masculino,0.010458560857011696,genero_Masculino,0.014000391754435832
tv_a_cabo,0.009800028036846733,backup_online,0.013842848705095896
seguranca_online,0.009550649807584698,assinatura_flmes,0.013742789056535788
servico_internet_Nenhum servico,0.00921616288409204,parceiro,0.013658201536499407
metodo_pagamento_Cartão Credito,0.0080856809941944,idoso,0.012464593862330925
metodo_pagamento_Cheque Correio,0.007443849656407697,multiplas_linhas,0.011621441349241646
multiplas_linhas,0.005582832161656469,tv_a_cabo,0.011378669878786609
tempo_contrato_Bi-Anual,0.005256002140800644,protecao_dispositivo,0.009649127109329365
tempo_contrato_Anual,0.004737059917567701,metodo_pagamento_Cartão Credito,0.009026536626340497
protecao_dispositivo,0.004497849829014095,metodo_pagamento_Transferencia bancaria,0.008633724931327455
metodo_pagamento_Transferencia bancaria,0.0024378953942103335,metodo_pagamento_Cheque Correio,0.008114410917284133
servico_internet_DSL,0.0,servico_telefonico,0.007236604599284419
